fire_id,lat,lon,date,hectares,STATION_NAME,PROV_STATE_TERR_CODE,LATITUDE,LONGITUDE,ELEVATION,distance,PROVINCE_CODE,HEATING_DEGREE_DAYS,TOTAL_SNOW_FLAG,DIRECTION_MAX_GUST_FLAG,DIRECTION_MAX_GUST,MAX_REL_HUMIDITY,LOCAL_DAY,LOCAL_MONTH,ID,MIN_TEMPERATURE_FLAG,MIN_TEMPERATURE,TOTAL_SNOW,MEAN_TEMPERATURE,MAX_REL_HUMIDITY_FLAG,LOCAL_DATE,SPEED_MAX_GUST,MIN_REL_HUMIDITY,COOLING_DEGREE_DAYS_FLAG,COOLING_DEGREE_DAYS,SNOW_ON_GROUND_FLAG,MEAN_TEMPERATURE_FLAG,MAX_TEMPERATURE_FLAG,MAX_TEMPERATURE,TOTAL_PRECIPITATION_FLAG,SPEED_MAX_GUST_FLAG,LOCAL_YEAR,TOTAL_RAIN,MIN_REL_HUMIDITY_FLAG,TOTAL_RAIN_FLAG,HEATING_DEGREE_DAYS_FLAG,TOTAL_PRECIPITATION,SNOW_ON_GROUND,CLIMATE_IDENTIFIER
7498,56.6086,-121.4797,2006-09-09,0.1,WONOWON,BC,56.44,-121.48,914.4,18.73570315554125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7499,56.5122,-122.2375,2006-09-10,0.01,HALFWAY RIVER,BC,56.44,-122.35,670.6,10.585053649281672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7500,56.2806,-122.1467,2006-08-25,0.009,HALFWAY RIVER,BC,56.44,-122.35,670.6,21.68846752767468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7501,56.4226,-121.1796,2006-09-14,0.82,PRESPATOU,BC,56.55,-121.02,684.9,17.21400662761964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7502,56.7212,-120.9643,2006-10-01,0.1,PRESPATOU,BC,56.55,-121.02,684.9,19.32676512917351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7503,56.2486,-120.9927,2006-10-04,4.0,CHARLIE LAKE,BC,56.17516,-121.00594,753.0,8.201943089138537,BC,14.5,,,,,4.0,10.0,11814FR.2006.10.4,,-8.0,0.0,3.5,,2006-10-04 00:00:00,,,,0.0,,,,15.0,,,2006.0,0.0,,,,0.0,0.0,11814FR
7504,56.3474,-121.0039,2006-10-07,9.0,CHARLIE LAKE,BC,56.17516,-121.00594,753.0,19.14060366205008,BC,14.2,,,,,7.0,10.0,11814FR.2006.10.7,,-2.5,0.0,3.8,,2006-10-07 00:00:00,,,,0.0,,,,10.0,,,2006.0,0.0,,,,0.0,0.0,11814FR
7505,56.753,-122.5977,2006-11-09,0.009,PINK MOUNTAIN 2,BC,57.02,-122.31,1144.0,34.42926323158454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7506,56.5588,-120.9798,2006-07-01,0.2,PRESPATOU,BC,56.55,-121.02,684.9,2.649185397386008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7507,56.9494,-121.4664,2006-06-30,0.2,BEATTON RIVER,BC,57.13,-121.28,807.7,23.01678591992767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7508,57.2203,-121.45,2006-07-02,1064.0,LAPRISE,BC,57.26,-121.59,781.0,9.504386603287266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7509,56.9533,-121.87,2006-07-02,4366.2,PINK MOUNTAIN,BC,57.0,-122.22,1204.0,21.822377871195208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7510,56.6064,-122.4131,2006-07-03,2.0,HALFWAY RIVER,BC,56.44,-122.35,670.6,18.89140163939116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7511,56.864,-121.5775,2006-07-02,1.2,BEATTON RIVER,BC,57.13,-121.28,807.7,34.612140190905514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7512,56.6132,-121.5895,2006-07-03,14.0,WONOWON,BC,56.44,-121.48,914.4,20.383428904623425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7513,56.7478,-121.9453,2006-07-03,0.5,PINK MOUNTAIN,BC,57.0,-122.22,1204.0,32.614839778085525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7514,56.7402,-121.9165,2006-07-03,0.009,PINK MOUNTAIN,BC,57.0,-122.22,1204.0,34.25286282627625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7515,56.7525,-121.8836,2006-07-03,0.06,PINK MOUNTAIN,BC,57.0,-122.22,1204.0,34.259635095332555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7516,56.61,-121.66,2006-07-03,0.009,WONOWON,BC,56.44,-121.48,914.4,21.876999411344645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7517,56.737,-121.9075,2006-07-03,742.2,PINK MOUNTAIN,BC,57.0,-122.22,1204.0,34.84821149727796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7518,56.7753,-122.8287,2006-07-03,6.9,PINK MOUNTAIN 2,BC,57.02,-122.31,1144.0,41.59773788517926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7519,56.9608,-121.2683,2006-07-03,7.0,BEATTON RIVER,BC,57.13,-121.28,807.7,18.81566621834204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7520,56.5685,-121.1387,2006-07-04,0.009,PRESPATOU,BC,56.55,-121.02,684.9,7.554094699143727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7521,56.6242,-122.1505,2006-07-03,4.0,HALFWAY RIVER,BC,56.44,-122.35,670.6,23.842372983457967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7522,56.2906,-121.7462,2006-08-22,6.6,WONOWON,BC,56.44,-121.48,914.4,23.325921064385543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
