agency,lat,lon,date,hectares,cause,response_type,biome,elevation
BC,53.213,-122.382,1950-08-14,0.5,H, ,Montane Cordillera,864.0
BC,53.26,-122.481,1950-08-02,0.1,H, ,Montane Cordillera,797.0
BC,54.742,-123.18,1950-08-26,0.1,L, ,Montane Cordillera,1041.0
BC,54.213,-123.93,1950-08-27,0.4,H, ,Montane Cordillera,675.0
BC,53.405,-122.632,1950-09-13,0.1,H, ,Montane Cordillera,541.0
BC,53.876,-123.481,1950-09-01,0.1,H, ,Montane Cordillera,826.0
BC,54.213,-124.028,1950-09-17,0.1,H, ,Montane Cordillera,792.0
BC,54.213,-123.93,1950-09-17,0.1,H, ,Montane Cordillera,675.0
BC,53.434,-122.583,1950-09-20,0.1,H, ,Montane Cordillera,596.0
BC,53.01,-122.481,1950-09-19,0.1,H, ,Montane Cordillera,566.0
BC,54.01,-122.481,1950-09-23,0.8,H, ,Montane Cordillera,827.0
BC,53.818,-122.783,1950-09-20,0.1,H, ,Montane Cordillera,793.0
BC,53.597,-122.682,1950-09-02,0.1,H, ,Montane Cordillera,557.0
BC,53.876,-122.682,1950-09-22,32.3,H, ,Montane Cordillera,693.0
BC,53.597,-122.632,1950-09-22,14.1,H, ,Montane Cordillera,803.0
BC,53.905,-122.783,1950-05-11,0.8,H, ,Montane Cordillera,600.0
BC,53.876,-122.533,1950-05-26,0.1,L, ,Montane Cordillera,848.0
BC,54.463,-124.278,1950-05-19,113.3,H, ,Montane Cordillera,766.0
BC,54.126,-123.028,1950-06-08,0.6,H, ,Montane Cordillera,750.0
BC,53.789,-123.731,1950-06-07,0.3,H, ,Montane Cordillera,859.0
BC,54.068,-122.481,1950-06-10,0.1,H, ,Montane Cordillera,582.0
BC,54.242,-122.629,1950-06-14,0.1,H, ,Montane Cordillera,727.0
BC,53.789,-123.731,1950-06-15,6.8,H, ,Montane Cordillera,859.0
BC,53.655,-122.682,1950-06-17,0.8,H, ,Montane Cordillera,609.0
BC,53.934,-122.533,1950-06-19,6.0,H, ,Montane Cordillera,718.0
BC,53.876,-123.731,1950-06-15,1.6,H, ,Montane Cordillera,777.0
BC,54.097,-122.93,1950-06-20,1.2,H, ,Montane Cordillera,757.0
BC,53.405,-122.583,1950-06-18,0.8,H, ,Montane Cordillera,689.0
BC,54.039,-122.829,1950-06-24,0.1,H, ,Montane Cordillera,767.0
BC,54.097,-123.18,1950-06-08,0.3,H, ,Montane Cordillera,805.0
BC,54.684,-124.028,1950-06-26,7.2,L, ,Montane Cordillera,793.0
BC,52.76,-122.539,1950-03-01,0.1,H, ,Montane Cordillera,721.0
